Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
2025-03-10;SHIPTRANSFER;ITEM4594;3781114-Rondelle M12 Trep plus L3, à plateau, avec rondelle plate, Inox;222609.0;MATRECTRANS;15.0;FOS1;FHIO1G01303;FOS1;FOS1I05310;;;41393.0;;SmallPart;MA;;;5,37;80,55;FHIO1;;
2025-03-10;TRANSFER;44520_ITEM;Leuchtenglas links, beheizbar;222151.0;MATRECTRANS;4.0;DKS1;DKS1000EIN;DKS1;DKS1E07103;;;;;SparePart;KB;;;325;1300;DKS1;;
2025-03-10;SHIPRECEIPT;ITEM4594;3781114-Rondelle M12 Trep plus L3, à plateau, avec rondelle plate, Inox;222611.0;MATRECTRANS;15.0;FOS1;FHIO1G01303;FOS1;FOS1I05310;;;41393.0;;SmallPart;MA;;;5,37;80,55;FHIO1;;
2025-03-10;SHIPTRANSFER;ITEM4752;01236.200.030- Vis à tête hexagonale M20x30 filetée revêtu zinc;222612.0;MATRECTRANS;12.0;FOS1;FHIO1G01306;FOS1;FOS1I04405;;;41394.0;;SmallPart;MA;;;0,87;10,44;FHIO1;;
2025-03-10;SHIPRECEIPT;ITEM4752;01236.200.030- Vis à tête hexagonale M20x30 filetée revêtu zinc;222613.0;MATRECTRANS;12.0;FOS1;FHIO1G01306;FOS1;FOS1I04405;;;41394.0;;SmallPart;MA;;;0,87;10,44;FHIO1;;
2025-03-10;TRANSFER;14131_ITEM;Willtek 4202R Mobile Service Tester incl. DC Option V;222614.0;MATRECTRANS;1.0;DKS1;Mestec;DKS1;DKS1000EIN;;;41395.0;;Unknown;TECH-TOOL;;;0;0;XKS4;;
2025-03-10;TRANSFER;14131_ITEM;Willtek 4202R Mobile Service Tester incl. DC Option V;222615.0;MATRECTRANS;1.0;DKS1;Mestec;DKS1;DKS1000EIN;;;41395.0;;Unknown;TECH-TOOL;;;0;0;XKS4;;
2025-03-10;STAGETRANSFER;ITEM1260;Bogenwinkel 90° m.*Dichtungssatz IP6;222154.0;MATRECTRANS;7.0;DKS1;DKS1000EIN;DKS1;DKS1000EIN;;;41396.0;;SparePart;JA;;;44,4;310,8;DKS1;;
2025-03-10;TRANSFER;16827_ITEM;Multischalter 8-p Spm 3,6kv 1650a;221879.0;MATRECTRANS;1.0;DKR1;DKR1A15002;DKR1;DKR1A10302;;;39451.0;;SparePart;FB;;REPAIRED;4690;4690;DKR1;;
2025-03-10;SHIPRECEIPT;ITEM2347;Vehicle Control Unit DCB 0913R (VCU Lite);222616.0;MATRECTRANS;1.0;DKR1;DKS1000EIN;DKR1;DKR1E20310;;;41332.0;;SparePart;JE;;NEW;3880;3880;DKS1;;
2025-03-10;ISSUE;12749_ITEM;KC Trockenperlen Orange CHAMELEON 2050 25 kg;140967.0;MATUSETRANS;-1.0;HKO1;;;;ORT1600;;41397.0;WO1944305;Lubricant;TECH-CONS;PM-FS;;10,5;10,5;HKO1;490-002;NEW
2025-03-10;ISSUE;30597_ITEM;Filtermatte Klima klein (Steuerung), Elsässer;140968.0;MATUSETRANS;-2.0;HKO1;;;;ORT1600;;41397.0;WO1944305;SparePart;LC;PM-FS;;1;2;HKO1;490-002;NEW
2025-03-10;ISSUE;30598_ITEM;Filtermatte Klima groß (Führerstand), Elsässer;140969.0;MATUSETRANS;-2.0;HKO1;;;;ORT1600;;41397.0;WO1944305;SparePart;LC;PM-FS;;0,8;1,6;HKO1;490-002;NEW
